,u,i,ts,label,idx
0,1,7048,0.0,0,1
1,1,7049,6.0,0,2
2,1,7050,41.0,0,3
3,1,7049,49.0,0,4
4,1,7050,51.0,0,5
5,1,7051,55.0,0,6
6,1,7052,59.0,0,7
7,1,7053,62.0,0,8
8,1,7054,65.0,0,9
9,1,7055,113.0,0,10
10,1,7056,226.0,0,11
11,1,7057,974.0,0,12
12,1,7048,1000.0,0,13
13,1,7057,1172.0,0,14
14,1,7050,1182.0,0,15
15,1,7049,1185.0,0,16
16,1,7058,1687.0,0,17
17,2,7058,7262.0,0,18
18,2,7049,7266.0,0,19
19,2,7050,7273.0,0,20
20,2,7055,7289.0,0,21
21,2,7048,7299.0,0,22
22,2,7059,7319.0,0,23
23,2,7060,7839.0,0,24
24,2,7059,7846.0,0,25
25,3,7049,37868.0,0,26
26,4,7049,37953.0,0,27
27,5,7049,37969.0,0,28
28,5,7051,38018.0,0,29
29,4,7058,38113.0,0,30
30,4,7051,38126.0,0,31
31,6,7049,38170.0,0,32
32,6,7051,38184.0,0,33
33,7,7049,38218.0,0,34
34,8,7049,38219.0,0,35
35,6,7056,38239.0,0,36
36,4,7061,38246.0,0,37
37,9,7049,38260.0,0,38
38,7,7051,38261.0,0,39
39,8,7049,38287.0,0,40
40,7,7049,38308.0,0,41
41,7,7050,38327.0,0,42
42,7,7055,38340.0,0,43
43,10,7049,38414.0,0,44
44,8,7058,38455.0,0,45
45,8,7057,38472.0,0,46
46,7,7062,38581.0,0,47
47,8,7051,38583.0,0,48
48,7,7062,38597.0,0,49
49,7,7055,38606.0,0,50
50,7,7062,38615.0,0,51
51,7,7057,38623.0,0,52
52,11,7049,38680.0,0,53
53,7,7056,38696.0,0,54
54,11,7051,38700.0,0,55
55,7,7051,38704.0,0,56
56,5,7052,38724.0,0,57
57,5,7061,38725.0,0,58
58,5,7056,38736.0,0,59
59,5,7053,38753.0,0,60
60,12,7049,38819.0,0,61
61,13,7049,38820.0,0,62
62,13,7051,38826.0,0,63
63,12,7049,38833.0,0,64
64,12,7051,38842.0,0,65
65,14,7049,38900.0,0,66
66,14,7051,38905.0,0,67
67,13,7057,38906.0,0,68
68,13,7061,38906.0,0,69
69,13,7057,38923.0,0,70
70,13,7055,38931.0,0,71
71,13,7056,38941.0,0,72
72,15,7049,39047.0,0,73
73,15,7050,39065.0,0,74
74,15,7049,39073.0,0,75
75,14,7052,39105.0,0,76
76,14,7061,39105.0,0,77
77,15,7051,39113.0,0,78
78,15,7057,39133.0,0,79
79,15,7061,39133.0,0,80
80,15,7057,39157.0,0,81
81,14,7056,39161.0,0,82
82,15,7055,39162.0,0,83
83,16,7049,39164.0,0,84
84,16,7050,39190.0,0,85
85,14,7063,39193.0,0,86
86,17,7049,39193.0,0,87
87,16,7051,39197.0,0,88
88,18,7049,39220.0,0,89
89,14,7056,39229.0,0,90
90,14,7053,39232.0,0,91
91,16,7061,39241.0,0,92
92,19,7049,39251.0,0,93
93,14,7052,39253.0,0,94
94,14,7064,39254.0,0,95
95,18,7058,39258.0,0,96
96,19,7051,39273.0,0,97
97,20,7049,39304.0,0,98
98,20,7050,39313.0,0,99
99,20,7051,39319.0,0,100
100,18,7051,39320.0,0,101
101,15,7056,39328.0,0,102
102,20,7061,39329.0,0,103
103,15,7056,39364.0,0,104
104,15,7049,39370.0,0,105
105,11,7052,39382.0,0,106
106,15,7050,39382.0,0,107
107,15,7051,39393.0,0,108
108,15,7052,39423.0,0,109
109,15,7049,39438.0,0,110
110,7,7061,39445.0,0,111
111,15,7049,39447.0,0,112
112,15,7050,39513.0,0,113
113,15,7058,39543.0,0,114
114,15,7052,39586.0,0,115
115,14,7055,39591.0,0,116
116,14,7063,39591.0,0,117
117,21,7049,39606.0,0,118
118,21,7050,39610.0,0,119
119,21,7049,39612.0,0,120
120,14,7057,39623.0,0,121
121,15,7052,39624.0,0,122
122,21,7051,39624.0,0,123
123,15,7052,39627.0,0,124
124,22,7049,39627.0,0,125
125,5,7053,39630.0,0,126
126,5,7064,39630.0,0,127
127,22,7050,39637.0,0,128
128,22,7051,39642.0,0,129
129,22,7055,39648.0,0,130
130,22,7061,39649.0,0,131
131,14,7057,39667.0,0,132
132,12,7052,39708.0,0,133
133,12,7061,39708.0,0,134
134,11,7053,39816.0,0,135
135,5,7064,39882.0,1,136
136,19,7052,39957.0,0,137
137,19,7061,39958.0,0,138
138,22,7062,40004.0,0,139
139,22,7057,40026.0,0,140
140,22,7056,40103.0,0,141
141,18,7061,40167.0,0,142
142,23,7050,40214.0,0,143
143,23,7051,40221.0,0,144
144,21,7057,40236.0,0,145
145,21,7061,40237.0,0,146
146,21,7052,40276.0,0,147
147,19,7053,40285.0,0,148
148,19,7063,40285.0,0,149
149,18,7056,40287.0,0,150
150,24,7049,40325.0,0,151
151,24,7051,40339.0,0,152
152,18,7052,40412.0,0,153
153,12,7055,40651.0,0,154
154,12,7063,40652.0,0,155
155,25,7049,40670.0,0,156
156,25,7052,40684.0,0,157
157,19,7053,40686.0,0,158
158,19,7064,40687.0,0,159
159,21,7053,40726.0,0,160
160,21,7063,40726.0,0,161
161,21,7054,40731.0,0,162
162,21,7064,40732.0,0,163
163,23,7056,40733.0,0,164
164,23,7061,40734.0,0,165
165,21,7065,40739.0,0,166
166,21,7066,40740.0,0,167
167,23,7055,40745.0,0,168
168,21,7054,40756.0,0,169
169,21,7067,40757.0,0,170
170,24,7057,40764.0,0,171
171,21,7053,40773.0,0,172
172,21,7066,40773.0,0,173
173,24,7057,40784.0,0,174
174,21,7064,40790.0,0,175
175,24,7057,40791.0,0,176
176,11,7054,40830.0,0,177
177,26,7049,41049.0,0,178
178,26,7050,41059.0,0,179
179,26,7051,41068.0,0,180
180,19,7054,41096.0,0,181
181,19,7064,41097.0,0,182
182,26,7051,41103.0,0,183
183,24,7052,41157.0,0,184
184,24,7061,41158.0,0,185
185,18,7053,41267.0,0,186
186,18,7063,41267.0,0,187
187,18,7052,41309.0,0,188
188,18,7064,41310.0,0,189
189,18,7051,41319.0,0,190
190,18,7063,41319.0,0,191
191,18,7053,41323.0,0,192
192,18,7061,41324.0,0,193
193,11,7065,41378.0,0,194
194,19,7065,41463.0,0,195
195,19,7066,41464.0,0,196
196,24,7057,41536.0,0,197
197,24,7055,41563.0,0,198
198,17,7058,41600.0,0,199
199,17,7049,41604.0,0,200
200,25,7053,41608.0,0,201
201,25,7063,41608.0,0,202
202,17,7050,41611.0,0,203
203,17,7055,41620.0,0,204
204,24,7053,41631.0,0,205
205,24,7063,41632.0,0,206
206,18,7053,41646.0,0,207
207,18,7064,41646.0,0,208
208,17,7057,41646.0,0,209
209,25,7056,41647.0,0,210
210,25,7053,41651.0,0,211
211,17,7057,41665.0,0,212
212,26,7052,41790.0,0,213
213,26,7063,41868.0,0,214
214,27,7049,41882.0,0,215
215,27,7050,41892.0,0,216
216,27,7057,41910.0,0,217
217,28,7049,41934.0,0,218
218,27,7055,41936.0,0,219
219,28,7050,41937.0,0,220
220,27,7057,41943.0,0,221
221,28,7050,41944.0,0,222
222,27,7057,41946.0,0,223
223,28,7049,41947.0,0,224
224,27,7056,41964.0,0,225
225,18,7057,41979.0,0,226
226,18,7064,41979.0,0,227
227,18,7057,42010.0,0,228
228,19,7055,42053.0,0,229
229,19,7067,42053.0,0,230
230,19,7062,42120.0,0,231
231,19,7057,42133.0,0,232
232,19,7056,42189.0,0,233
233,29,7049,42489.0,0,234
234,25,7054,42632.0,0,235
235,25,7064,42633.0,0,236
236,25,7056,43218.0,0,237
237,25,7066,43219.0,0,238
238,25,7065,43223.0,0,239
239,30,7049,43615.0,0,240
240,30,7050,43629.0,0,241
241,30,7049,43662.0,0,242
242,30,7058,43691.0,0,243
243,30,7057,43697.0,0,244
244,31,7049,45092.0,0,245
245,31,7050,45116.0,0,246
246,31,7051,45126.0,0,247
247,31,7055,45132.0,0,248
248,31,7051,45139.0,0,249
249,32,7049,45708.0,0,250
250,32,7055,45731.0,0,251
251,31,7052,45858.0,0,252
252,32,7062,45929.0,0,253
253,32,7057,46021.0,0,254
254,31,7053,46295.0,0,255
255,24,7057,47169.0,0,256
256,33,7049,47359.0,0,257
257,24,7057,47628.0,0,258
258,33,7055,48257.0,0,259
259,33,7057,48272.0,0,260
260,33,7056,48834.0,0,261
261,24,7054,48950.0,0,262
262,24,7064,48951.0,0,263
263,24,7049,49040.0,0,264
264,24,7066,49041.0,0,265
265,24,7050,49044.0,0,266
266,24,7062,49131.0,0,267
267,34,7049,49692.0,0,268
268,35,7049,53894.0,0,269
269,35,7051,53909.0,0,270
270,36,7049,54663.0,0,271
271,36,7050,54705.0,0,272
272,36,7055,54763.0,0,273
273,36,7057,54972.0,0,274
274,36,7051,55061.0,0,275
275,36,7055,55090.0,0,276
276,32,7056,55471.0,0,277
277,35,7049,55632.0,0,278
278,35,7061,55634.0,0,279
279,35,7058,55750.0,0,280
280,37,7049,57325.0,0,281
281,37,7051,57370.0,0,282
282,38,7049,58318.0,0,283
283,38,7058,58364.0,0,284
284,38,7049,58372.0,0,285
285,39,7049,60105.0,0,286
286,39,7050,60119.0,0,287
287,40,7049,60435.0,0,288
288,40,7050,60453.0,0,289
289,40,7051,60463.0,0,290
290,39,7058,61020.0,0,291
291,39,7051,61036.0,0,292
292,41,7049,61340.0,0,293
293,41,7051,61356.0,0,294
294,41,7052,61501.0,0,295
295,41,7061,61501.0,0,296
296,41,7051,61514.0,0,297
297,41,7063,61515.0,0,298
298,41,7051,61610.0,0,299
299,41,7061,61610.0,0,300
300,42,7049,61669.0,0,301
301,43,7049,61683.0,0,302
302,43,7057,61688.0,0,303
303,43,7055,61702.0,0,304
304,42,7058,61782.0,0,305
305,43,7062,61790.0,0,306
306,42,7051,61795.0,0,307
307,43,7062,61818.0,1,308
308,42,7052,62487.0,0,309
309,44,7049,62555.0,0,310
310,45,7049,62596.0,0,311
311,45,7052,62604.0,0,312
312,44,7058,62607.0,0,313
313,44,7052,62626.0,0,314
314,45,7063,62630.0,0,315
315,46,7049,62655.0,0,316
316,46,7055,62670.0,0,317
317,46,7062,62777.0,0,318
318,47,7049,62918.0,0,319
319,47,7051,62948.0,0,320
320,42,7053,62960.0,0,321
321,42,7052,62970.0,0,322
322,42,7054,62975.0,0,323
323,42,7053,62980.0,0,324
324,40,7061,63073.0,0,325
325,44,7051,63076.0,0,326
326,44,7063,63076.0,0,327
327,47,7051,63301.0,0,328
328,46,7062,63327.0,0,329
329,48,7049,63343.0,0,330
330,46,7051,63345.0,0,331
331,48,7051,63362.0,0,332
332,46,7065,63396.0,0,333
333,46,7054,63416.0,0,334
334,49,7049,63440.0,0,335
335,49,7050,63449.0,0,336
336,49,7051,63453.0,0,337
337,46,7054,63474.0,0,338
338,48,7052,63477.0,0,339
339,48,7061,63478.0,0,340
340,48,7051,63502.0,0,341
341,48,7049,63503.0,0,342
342,47,7056,63745.0,0,343
343,47,7051,63760.0,0,344
344,44,7053,63761.0,0,345
345,44,7061,63761.0,0,346
346,46,7056,63888.0,0,347
347,46,7051,63906.0,0,348
348,50,7057,63936.0,0,349
349,42,7054,63959.0,0,350
350,50,7056,64037.0,0,351
351,51,7049,64267.0,0,352
352,52,7049,64307.0,0,353
353,52,7051,64337.0,0,354
354,42,7065,64429.0,0,355
355,42,7054,64435.0,0,356
356,47,7053,64474.0,0,357
357,47,7052,64477.0,0,358
358,47,7053,64478.0,0,359
359,47,7052,64487.0,0,360
360,42,7057,64501.0,0,361
361,42,7065,64510.0,0,362
362,46,7056,64739.0,0,363
363,46,7057,64752.0,0,364
364,39,7057,64776.0,0,365
365,39,7061,64777.0,0,366
366,47,7052,64936.0,0,367
367,47,7063,64936.0,0,368
368,53,7049,64988.0,0,369
369,53,7050,65005.0,0,370
370,53,7051,65010.0,0,371
371,53,7057,65043.0,0,372
372,53,7055,65159.0,0,373
373,54,7049,65328.0,0,374
374,53,7062,65333.0,0,375
375,42,7055,65337.0,0,376
376,53,7062,65352.0,0,377
377,54,7055,65353.0,0,378
378,42,7057,65356.0,0,379
379,53,7062,65363.0,0,380
380,54,7057,65381.0,0,381
381,47,7053,65572.0,1,382
382,55,7049,65865.0,0,383
383,56,7051,65872.0,0,384
384,55,7051,65878.0,0,385
385,56,7055,65885.0,0,386
386,56,7061,65886.0,0,387
387,55,7061,65888.0,0,388
388,56,7052,65896.0,0,389
389,54,7051,65968.0,0,390
390,56,7051,65985.0,0,391
391,56,7063,65986.0,0,392
392,56,7051,65991.0,0,393
393,53,7056,66104.0,0,394
394,53,7052,66112.0,0,395
395,57,7049,66182.0,0,396
396,57,7051,66199.0,0,397
397,58,7049,66284.0,0,398
398,58,7051,66306.0,0,399
399,59,7049,66470.0,0,400
400,60,7049,66492.0,0,401
401,61,7049,66497.0,0,402
402,59,7049,66500.0,0,403
403,60,7050,66528.0,0,404
404,61,7051,66538.0,0,405
405,59,7058,66602.0,0,406
406,54,7052,66653.0,0,407
407,9,7058,66653.0,0,408
408,62,7049,66680.0,0,409
409,63,7049,66712.0,0,410
410,63,7051,66724.0,0,411
411,9,7058,66729.0,0,412
412,64,7049,66752.0,0,413
413,60,7058,66758.0,0,414
414,60,7051,66765.0,0,415
415,64,7052,66773.0,0,416
416,9,7058,66775.0,0,417
417,9,7051,66786.0,0,418
418,65,7049,66876.0,0,419
419,65,7058,66889.0,0,420
420,66,7051,66892.0,0,421
421,59,7058,66892.0,0,422
422,65,7049,66895.0,0,423
423,66,7056,66903.0,0,424
424,66,7061,66903.0,0,425
425,66,7051,66910.0,0,426
426,66,7052,66931.0,0,427
427,66,7061,66932.0,0,428
428,66,7063,66941.0,0,429
429,59,7058,66952.0,0,430
430,63,7052,66956.0,0,431
431,63,7061,66957.0,0,432
432,63,7051,66961.0,0,433
433,63,7063,66961.0,0,434
434,63,7061,66966.0,0,435
435,67,7049,66978.0,0,436
436,59,7051,66981.0,0,437
437,68,7049,66984.0,0,438
438,63,7056,66988.0,0,439
439,63,7051,66993.0,0,440
440,69,7049,67029.0,0,441
441,69,7050,67037.0,0,442
442,69,7055,67044.0,0,443
443,68,7051,67056.0,0,444
444,65,7058,67075.0,0,445
445,65,7049,67078.0,0,446
446,16,7056,67089.0,0,447
447,54,7053,67090.0,0,448
448,16,7053,67094.0,0,449
449,70,7049,67114.0,0,450
450,53,7053,67121.0,0,451
451,69,7062,67133.0,0,452
452,70,7058,67143.0,0,453
453,70,7049,67149.0,0,454
454,69,7055,67149.0,0,455
455,70,7050,67157.0,0,456
456,69,7062,67160.0,0,457
457,70,7051,67164.0,0,458
458,69,7055,67165.0,0,459
459,69,7057,67169.0,1,460
460,70,7057,67201.0,0,461
461,70,7061,67202.0,0,462
462,70,7057,67224.0,0,463
463,71,7049,67247.0,0,464
464,71,7050,67256.0,0,465
465,71,7051,67263.0,0,466
466,70,7056,67307.0,0,467
467,55,7056,67318.0,0,468
468,55,7051,67322.0,0,469
469,68,7061,67365.0,0,470
470,60,7061,67452.0,0,471
471,72,7049,67473.0,0,472
472,72,7058,67503.0,0,473
473,72,7051,67521.0,0,474
474,73,7049,67596.0,0,475
475,73,7051,67622.0,0,476
476,60,7052,67640.0,0,477
477,59,7052,67679.0,0,478
478,74,7049,67733.0,0,479
479,74,7050,67745.0,0,480
480,74,7057,67753.0,0,481
481,74,7051,67779.0,0,482
482,75,7049,67868.0,0,483
483,71,7051,67891.0,0,484
484,71,7061,67891.0,0,485
485,76,7049,67934.0,0,486
486,76,7050,67979.0,0,487
487,71,7052,67980.0,0,488
488,71,7061,67981.0,0,489
489,76,7051,67987.0,0,490
490,77,7049,67999.0,0,491
491,77,7050,68007.0,0,492
492,75,7050,68021.0,0,493
493,75,7051,68030.0,0,494
494,60,7053,68046.0,0,495
495,60,7063,68047.0,0,496
496,64,7057,68051.0,0,497
497,64,7063,68052.0,0,498
