,u,i,ts,label,idx
0,1,8228,0.0,0,1
1,2,8229,36.0,0,2
2,2,8229,77.0,0,3
3,3,8230,131.0,0,4
4,2,8229,150.0,0,5
5,3,8230,153.0,0,6
6,4,8231,169.0,0,7
7,2,8229,217.0,0,8
8,5,8232,218.0,0,9
9,5,8232,242.0,0,10
10,6,8233,295.0,0,11
11,2,8229,300.0,0,12
12,2,8229,376.0,0,13
13,3,8230,380.0,0,14
14,7,8234,384.0,0,15
15,8,8228,384.0,0,16
16,4,8231,387.0,0,17
17,9,8235,395.0,0,18
18,2,8229,402.0,0,19
19,3,8230,402.0,0,20
20,3,8230,432.0,0,21
21,10,8236,454.0,0,22
22,2,8229,465.0,0,23
23,7,8234,563.0,0,24
24,5,8232,578.0,0,25
25,2,8229,623.0,0,26
26,4,8231,646.0,0,27
27,3,8230,674.0,0,28
28,2,8229,692.0,0,29
29,3,8230,715.0,0,30
30,11,8237,729.0,0,31
31,12,8238,742.0,0,32
32,4,8231,742.0,0,33
33,4,8231,809.0,0,34
34,13,8239,854.0,0,35
35,2,8229,854.0,0,36
36,5,8232,872.0,0,37
37,14,8240,904.0,0,38
38,15,8241,939.0,0,39
39,13,8239,959.0,0,40
40,2,8229,989.0,0,41
41,15,8241,1026.0,0,42
42,15,8241,1072.0,0,43
43,16,8242,1142.0,0,44
44,13,8239,1151.0,0,45
45,17,8243,1153.0,0,46
46,18,8244,1177.0,0,47
47,5,8232,1199.0,0,48
48,5,8232,1214.0,0,49
49,4,8231,1226.0,0,50
50,19,8245,1255.0,0,51
51,12,8238,1301.0,0,52
52,20,8246,1307.0,0,53
53,21,8247,1308.0,0,54
54,22,8248,1314.0,0,55
55,23,8249,1340.0,0,56
56,4,8231,1401.0,0,57
57,18,8250,1451.0,0,58
58,12,8238,1496.0,0,59
59,5,8232,1508.0,0,60
60,24,8251,1529.0,0,61
61,5,8232,1531.0,0,62
62,25,8252,1543.0,0,63
63,13,8239,1555.0,0,64
64,26,8253,1600.0,0,65
65,4,8231,1607.0,0,66
66,5,8232,1630.0,0,67
67,3,8230,1643.0,0,68
68,27,8254,1651.0,0,69
69,5,8232,1664.0,0,70
70,5,8232,1677.0,0,71
71,28,8255,1682.0,0,72
72,12,8238,1706.0,0,73
73,13,8239,1713.0,0,74
74,29,8256,1724.0,0,75
75,19,8245,1729.0,0,76
76,30,8257,1771.0,0,77
77,12,8238,1789.0,0,78
78,3,8230,1797.0,0,79
79,9,8235,1805.0,0,80
80,5,8232,1814.0,0,81
81,5,8232,1827.0,0,82
82,31,8258,1908.0,0,83
83,32,8259,1914.0,0,84
84,29,8256,1925.0,0,85
85,29,8256,1996.0,0,86
86,17,8250,2022.0,0,87
87,33,8260,2053.0,1,88
88,5,8232,2063.0,0,89
89,4,8231,2075.0,0,90
90,34,8261,2079.0,0,91
91,9,8235,2098.0,0,92
92,5,8232,2127.0,0,93
93,17,8250,2131.0,0,94
94,25,8252,2233.0,0,95
95,5,8232,2285.0,0,96
96,4,8231,2290.0,0,97
97,2,8229,2313.0,0,98
98,4,8231,2333.0,0,99
99,35,8262,2343.0,0,100
100,17,8250,2367.0,0,101
101,36,8263,2377.0,0,102
102,4,8231,2377.0,0,103
103,37,8264,2382.0,0,104
104,4,8231,2412.0,0,105
105,5,8232,2438.0,0,106
106,17,8250,2471.0,0,107
107,4,8231,2494.0,0,108
108,28,8255,2509.0,0,109
109,17,8250,2521.0,0,110
110,13,8239,2524.0,0,111
111,25,8252,2534.0,0,112
112,29,8256,2557.0,0,113
113,5,8232,2561.0,0,114
114,17,8250,2570.0,0,115
115,2,8229,2574.0,0,116
116,15,8241,2584.0,0,117
117,32,8259,2588.0,0,118
118,35,8262,2595.0,0,119
119,4,8231,2602.0,0,120
120,5,8232,2610.0,0,121
121,20,8261,2627.0,0,122
122,32,8259,2634.0,0,123
123,28,8255,2650.0,0,124
124,32,8259,2689.0,0,125
125,15,8241,2706.0,0,126
126,38,8265,2745.0,0,127
127,2,8229,2755.0,0,128
128,15,8241,2756.0,0,129
129,5,8232,2774.0,0,130
130,38,8265,2785.0,0,131
131,5,8232,2805.0,0,132
132,38,8265,2807.0,0,133
133,4,8231,2830.0,0,134
134,5,8232,2830.0,0,135
135,39,8261,2836.0,0,136
136,4,8231,2861.0,0,137
137,15,8241,2883.0,0,138
138,17,8250,2900.0,0,139
139,17,8250,2915.0,0,140
140,5,8232,2924.0,0,141
141,15,8241,2940.0,0,142
142,9,8235,2963.0,0,143
143,13,8239,2973.0,0,144
144,2,8229,2994.0,0,145
145,17,8250,3017.0,0,146
146,4,8231,3032.0,0,147
147,15,8241,3050.0,0,148
148,15,8241,3083.0,0,149
149,17,8250,3108.0,0,150
150,4,8231,3113.0,0,151
151,40,8266,3123.0,0,152
152,4,8231,3155.0,0,153
153,2,8229,3182.0,0,154
154,41,8245,3226.0,0,155
155,17,8250,3229.0,0,156
156,42,8267,3258.0,0,157
157,43,8268,3282.0,0,158
158,44,8269,3314.0,0,159
159,2,8229,3331.0,0,160
160,29,8256,3396.0,0,161
161,17,8250,3422.0,0,162
162,45,8270,3504.0,0,163
163,13,8239,3515.0,0,164
164,43,8268,3520.0,0,165
165,17,8250,3559.0,0,166
166,35,8262,3591.0,0,167
167,4,8231,3729.0,0,168
168,46,8250,3734.0,0,169
169,17,8250,3767.0,0,170
170,4,8231,3768.0,0,171
171,4,8231,3820.0,0,172
172,17,8250,3835.0,0,173
173,17,8250,3851.0,0,174
174,4,8231,3855.0,0,175
175,7,8234,3874.0,0,176
176,4,8231,3928.0,0,177
177,47,8271,3950.0,0,178
178,17,8250,3994.0,0,179
179,4,8231,4030.0,0,180
180,17,8250,4030.0,0,181
181,17,8250,4058.0,0,182
182,4,8231,4078.0,0,183
183,2,8229,4188.0,0,184
184,7,8234,4191.0,0,185
185,4,8231,4198.0,0,186
186,4,8231,4242.0,0,187
187,2,8229,4243.0,0,188
188,13,8239,4275.0,0,189
189,4,8231,4287.0,0,190
190,2,8229,4304.0,0,191
191,4,8231,4334.0,0,192
192,48,8272,4399.0,0,193
193,49,8273,4408.0,0,194
194,4,8231,4411.0,0,195
195,49,8273,4432.0,0,196
196,17,8250,4442.0,0,197
197,4,8231,4485.0,0,198
198,50,8274,4487.0,0,199
199,51,8275,4497.0,0,200
200,17,8250,4505.0,0,201
201,48,8272,4508.0,0,202
202,4,8231,4533.0,0,203
203,2,8229,4562.0,0,204
204,51,8275,4568.0,0,205
205,4,8231,4581.0,0,206
206,17,8250,4584.0,0,207
207,2,8229,4620.0,0,208
208,13,8239,4630.0,0,209
209,49,8273,4665.0,0,210
210,52,8276,4667.0,0,211
211,53,8250,4669.0,0,212
212,4,8231,4679.0,0,213
213,52,8276,4709.0,0,214
214,54,8277,4743.0,0,215
215,55,8278,4751.0,0,216
216,17,8250,4755.0,0,217
217,49,8273,4774.0,0,218
218,56,8279,4780.0,0,219
219,4,8231,4802.0,0,220
220,2,8229,4812.0,0,221
221,17,8250,4813.0,0,222
222,4,8231,4853.0,0,223
223,49,8273,4877.0,0,224
224,4,8231,4893.0,0,225
225,17,8250,4899.0,0,226
226,57,8280,4909.0,0,227
227,17,8250,4925.0,0,228
228,17,8250,4968.0,0,229
229,49,8273,4980.0,0,230
230,9,8235,5007.0,0,231
231,48,8272,5037.0,0,232
232,58,8245,5056.0,0,233
233,17,8250,5066.0,0,234
234,59,8281,5087.0,0,235
235,2,8229,5088.0,0,236
236,17,8250,5101.0,0,237
237,49,8273,5148.0,0,238
238,2,8229,5169.0,0,239
239,4,8231,5180.0,0,240
240,4,8231,5218.0,0,241
241,2,8229,5258.0,0,242
242,60,8282,5261.0,0,243
243,49,8273,5268.0,0,244
244,49,8273,5357.0,0,245
245,19,8245,5358.0,0,246
246,49,8273,5405.0,0,247
247,4,8231,5436.0,0,248
248,2,8229,5443.0,0,249
249,60,8282,5445.0,0,250
250,61,8283,5449.0,0,251
251,62,8284,5498.0,0,252
252,2,8229,5564.0,0,253
253,60,8282,5570.0,0,254
254,62,8284,5646.0,0,255
255,18,8285,5670.0,0,256
256,62,8284,5705.0,0,257
257,2,8229,5712.0,0,258
258,23,8286,5721.0,0,259
259,49,8273,5726.0,0,260
260,60,8282,5798.0,0,261
261,58,8245,5800.0,0,262
262,2,8229,5807.0,0,263
263,63,8287,5855.0,0,264
264,49,8273,5904.0,0,265
265,2,8229,5928.0,0,266
266,64,8241,5974.0,0,267
267,60,8282,5985.0,0,268
268,65,8288,6053.0,0,269
269,65,8288,6084.0,0,270
270,4,8231,6096.0,0,271
271,66,8289,6112.0,0,272
272,67,8290,6123.0,0,273
273,4,8231,6149.0,0,274
274,2,8229,6167.0,0,275
275,2,8229,6234.0,0,276
276,68,8237,6254.0,0,277
277,69,8250,6344.0,0,278
278,70,8291,6359.0,0,279
279,57,8280,6437.0,0,280
280,60,8282,6438.0,0,281
281,63,8287,6443.0,0,282
282,71,8292,6448.0,0,283
283,63,8287,6476.0,0,284
284,2,8229,6519.0,0,285
285,72,8282,6525.0,0,286
286,60,8282,6585.0,0,287
287,4,8231,6602.0,0,288
288,63,8287,6615.0,0,289
289,60,8282,6670.0,0,290
290,60,8282,6706.0,0,291
291,2,8229,6727.0,0,292
292,60,8282,6762.0,0,293
293,2,8229,6769.0,0,294
294,73,8293,6792.0,0,295
295,2,8229,6815.0,0,296
296,4,8231,6826.0,0,297
297,2,8229,6864.0,0,298
298,4,8231,6867.0,0,299
299,2,8229,6935.0,0,300
300,9,8294,6936.0,0,301
301,74,8295,6937.0,0,302
302,2,8229,7006.0,0,303
303,75,8296,7010.0,0,304
304,4,8231,7039.0,0,305
305,74,8267,7100.0,0,306
306,76,8297,7101.0,0,307
307,74,8298,7116.0,0,308
308,74,8235,7128.0,0,309
309,76,8297,7198.0,0,310
310,60,8282,7211.0,0,311
311,4,8231,7223.0,0,312
312,35,8262,7234.0,0,313
313,76,8297,7235.0,0,314
314,2,8229,7244.0,0,315
315,35,8262,7251.0,0,316
316,77,8290,7296.0,0,317
317,75,8296,7303.0,0,318
318,60,8282,7313.0,0,319
319,2,8229,7338.0,0,320
320,78,8286,7339.0,0,321
321,79,8246,7372.0,0,322
322,4,8231,7400.0,0,323
323,76,8297,7407.0,0,324
324,80,8269,7410.0,0,325
325,75,8296,7417.0,0,326
326,2,8229,7433.0,0,327
327,75,8296,7444.0,0,328
328,78,8286,7445.0,0,329
329,4,8231,7550.0,0,330
330,81,8299,7564.0,0,331
331,2,8229,7589.0,0,332
332,78,8286,7609.0,0,333
333,60,8282,7643.0,0,334
334,76,8297,7695.0,0,335
335,60,8282,7706.0,0,336
336,2,8229,7731.0,0,337
337,60,8282,7763.0,0,338
338,60,8282,7787.0,0,339
339,4,8231,7810.0,0,340
340,4,8231,7847.0,0,341
341,60,8282,7871.0,0,342
342,4,8231,7881.0,0,343
343,2,8229,7942.0,0,344
344,57,8280,7948.0,0,345
345,4,8231,7998.0,0,346
346,4,8231,8030.0,0,347
347,4,8231,8079.0,0,348
348,76,8297,8093.0,0,349
349,51,8300,8152.0,0,350
350,60,8282,8157.0,0,351
351,82,8257,8157.0,0,352
352,83,8262,8157.0,0,353
353,76,8297,8182.0,0,354
354,60,8282,8216.0,0,355
355,84,8301,8243.0,0,356
356,84,8301,8283.0,0,357
357,60,8282,8336.0,0,358
358,85,8262,8365.0,0,359
359,76,8297,8393.0,0,360
360,85,8262,8397.0,0,361
361,76,8297,8430.0,0,362
362,2,8229,8587.0,0,363
363,86,8302,8619.0,0,364
364,51,8300,8727.0,0,365
365,76,8297,8809.0,0,366
366,87,8289,8825.0,0,367
367,78,8286,8907.0,0,368
368,76,8297,8913.0,0,369
369,88,8303,8942.0,0,370
370,82,8257,8980.0,0,371
371,76,8297,8988.0,0,372
372,89,8304,9000.0,0,373
373,82,8257,9017.0,0,374
374,89,8304,9061.0,0,375
375,76,8297,9112.0,0,376
376,51,8300,9118.0,0,377
377,66,8289,9127.0,0,378
378,76,8297,9141.0,0,379
379,66,8289,9150.0,0,380
380,82,8257,9172.0,0,381
381,90,8305,9234.0,0,382
382,91,8306,9240.0,0,383
383,89,8304,9248.0,0,384
384,92,8261,9259.0,0,385
385,93,8307,9269.0,0,386
386,76,8297,9270.0,0,387
387,77,8290,9298.0,0,388
388,82,8257,9299.0,0,389
389,94,8308,9307.0,0,390
390,60,8282,9312.0,0,391
391,92,8261,9341.0,0,392
392,76,8297,9356.0,0,393
393,76,8297,9377.0,0,394
394,60,8282,9384.0,0,395
395,89,8304,9396.0,0,396
396,87,8289,9439.0,0,397
397,76,8297,9462.0,0,398
398,91,8306,9500.0,0,399
399,76,8297,9503.0,0,400
400,89,8304,9567.0,0,401
401,4,8231,9576.0,0,402
402,91,8306,9629.0,0,403
403,76,8297,9694.0,0,404
404,89,8304,9695.0,0,405
405,95,8309,9700.0,0,406
406,91,8306,9728.0,0,407
407,82,8257,9777.0,0,408
408,91,8306,9784.0,0,409
409,76,8297,9830.0,0,410
410,96,8294,9840.0,0,411
411,96,8294,9928.0,0,412
412,23,8310,9934.0,0,413
413,77,8290,9943.0,0,414
414,91,8306,9966.0,0,415
415,76,8297,10020.0,0,416
416,67,8290,10030.0,0,417
417,97,8311,10034.0,0,418
418,91,8306,10086.0,0,419
419,67,8290,10167.0,0,420
420,76,8297,10184.0,0,421
421,89,8304,10185.0,0,422
422,98,8312,10297.0,0,423
423,60,8282,10300.0,0,424
424,99,8313,10348.0,0,425
425,4,8231,10380.0,0,426
426,89,8304,10392.0,0,427
427,96,8294,10393.0,0,428
428,67,8290,10393.0,0,429
429,99,8313,10431.0,0,430
430,96,8294,10449.0,0,431
431,89,8304,10489.0,0,432
432,76,8297,10491.0,0,433
433,60,8282,10497.0,0,434
434,4,8231,10556.0,0,435
435,91,8306,10567.0,0,436
436,4,8231,10597.0,0,437
437,94,8308,10614.0,0,438
438,76,8297,10619.0,0,439
439,4,8231,10661.0,0,440
440,4,8231,10720.0,0,441
441,89,8304,10731.0,0,442
442,4,8231,10769.0,0,443
443,76,8297,10831.0,0,444
444,4,8231,10889.0,0,445
445,67,8290,10892.0,0,446
446,69,8309,10918.0,0,447
447,60,8282,10939.0,0,448
448,100,8314,10960.0,0,449
449,100,8314,10987.0,0,450
450,4,8231,10989.0,0,451
451,76,8297,11006.0,0,452
452,97,8311,11051.0,0,453
453,89,8304,11052.0,0,454
454,60,8282,11055.0,0,455
455,76,8297,11062.0,0,456
456,76,8297,11085.0,0,457
457,4,8231,11146.0,0,458
458,101,8315,11171.0,0,459
459,102,8316,11180.0,0,460
460,89,8304,11235.0,0,461
461,102,8316,11292.0,0,462
462,4,8231,11299.0,0,463
463,89,8304,11301.0,0,464
464,60,8282,11352.0,0,465
465,4,8231,11356.0,0,466
466,4,8231,11383.0,0,467
467,89,8304,11432.0,0,468
468,4,8231,11437.0,0,469
469,89,8304,11455.0,0,470
470,60,8282,11466.0,0,471
471,4,8231,11493.0,0,472
472,51,8300,11495.0,0,473
473,89,8304,11520.0,0,474
474,4,8231,11544.0,0,475
475,103,8307,11578.0,0,476
476,89,8304,11581.0,0,477
477,51,8300,11601.0,0,478
478,4,8231,11636.0,0,479
479,89,8304,11663.0,0,480
480,4,8231,11705.0,0,481
481,104,8317,11710.0,0,482
482,105,8318,11710.0,0,483
483,103,8307,11719.0,0,484
484,105,8318,11720.0,0,485
485,89,8304,11748.0,0,486
486,101,8315,11778.0,0,487
487,89,8304,11805.0,0,488
488,106,8319,11862.0,0,489
489,76,8297,11892.0,0,490
490,89,8304,11893.0,0,491
491,60,8282,11907.0,0,492
492,107,8303,11920.0,0,493
493,76,8297,11922.0,0,494
494,89,8304,11928.0,0,495
495,108,8320,11940.0,0,496
496,4,8231,11985.0,0,497
497,89,8304,11994.0,0,498
498,81,8321,11996.0,0,499
499,4,8231,12018.0,0,500
500,76,8297,12109.0,0,501
501,76,8297,12176.0,0,502
502,109,8322,12185.0,0,503
503,4,8231,12191.0,0,504
504,108,8320,12199.0,0,505
505,4,8231,12219.0,0,506
506,103,8307,12229.0,0,507
507,89,8304,12270.0,0,508
508,110,8253,12415.0,0,509
509,4,8231,12422.0,0,510
510,76,8297,12465.0,0,511
511,76,8297,12517.0,0,512
512,4,8231,12518.0,0,513
513,107,8303,12602.0,0,514
514,89,8304,12610.0,0,515
515,4,8231,12665.0,0,516
516,111,8303,12681.0,0,517
517,19,8245,12694.0,0,518
518,4,8231,12711.0,0,519
519,19,8245,12716.0,0,520
520,112,8323,12752.0,0,521
521,103,8307,12772.0,0,522
522,105,8318,12807.0,0,523
523,18,8324,12817.0,0,524
524,112,8323,12836.0,0,525
525,4,8231,12840.0,0,526
526,19,8245,12860.0,0,527
527,4,8231,12895.0,0,528
528,89,8304,12958.0,0,529
529,76,8297,12963.0,0,530
530,109,8322,12989.0,0,531
531,107,8303,12994.0,0,532
532,60,8282,13009.0,0,533
533,77,8290,13053.0,0,534
534,77,8290,13091.0,0,535
535,76,8297,13127.0,0,536
536,76,8297,13253.0,0,537
537,113,8298,13258.0,0,538
538,87,8285,13279.0,0,539
539,107,8303,13280.0,0,540
540,76,8297,13289.0,0,541
541,89,8304,13303.0,0,542
542,76,8297,13391.0,0,543
543,107,8303,13466.0,0,544
544,114,8290,13487.0,0,545
545,115,8325,13494.0,0,546
546,76,8297,13498.0,0,547
547,19,8245,13517.0,0,548
548,89,8304,13556.0,0,549
549,4,8231,13619.0,0,550
550,15,8241,13629.0,0,551
551,4,8231,13701.0,0,552
552,89,8304,13741.0,0,553
553,89,8304,13918.0,0,554
554,89,8304,13992.0,0,555
555,4,8231,14041.0,0,556
556,15,8241,14056.0,0,557
557,116,8326,14097.0,0,558
558,4,8231,14099.0,0,559
559,117,8284,14115.0,0,560
560,89,8304,14231.0,0,561
561,77,8290,14260.0,0,562
562,118,8327,14272.0,0,563
563,77,8290,14299.0,0,564
564,118,8327,14340.0,0,565
565,89,8304,14385.0,0,566
566,107,8303,14450.0,0,567
567,119,8328,14478.0,0,568
568,4,8231,14495.0,0,569
569,89,8304,14534.0,0,570
570,79,8329,14557.0,0,571
571,79,8329,14584.0,0,572
572,107,8303,14601.0,0,573
573,89,8304,14613.0,0,574
574,86,8302,14645.0,0,575
575,79,8329,14660.0,0,576
576,4,8231,14764.0,0,577
577,28,8255,14767.0,0,578
578,120,8330,14778.0,0,579
579,103,8307,14813.0,0,580
580,117,8284,14841.0,0,581
581,28,8255,14861.0,0,582
582,89,8304,14872.0,0,583
583,103,8307,14883.0,0,584
584,118,8327,14918.0,0,585
585,7,8234,14972.0,0,586
586,68,8322,14999.0,0,587
587,28,8255,15011.0,0,588
588,89,8304,15040.0,0,589
589,89,8304,15178.0,0,590
590,103,8307,15191.0,0,591
591,89,8304,15232.0,0,592
592,103,8307,15285.0,0,593
593,103,8307,15313.0,0,594
594,103,8307,15346.0,0,595
595,119,8328,15381.0,0,596
596,103,8307,15385.0,0,597
597,89,8304,15448.0,0,598
598,51,8300,15473.0,0,599
599,67,8331,15488.0,0,600
600,121,8262,15533.0,0,601
601,89,8304,15559.0,0,602
602,67,8331,15582.0,0,603
603,122,8298,15585.0,0,604
604,4,8231,15604.0,0,605
605,119,8328,15604.0,0,606
606,123,8246,15611.0,0,607
607,13,8239,15660.0,0,608
608,67,8331,15663.0,0,609
609,51,8300,15679.0,0,610
610,124,8332,15693.0,0,611
